Project_No,UAW,UUCW,UUCP,TCF,ECF,TCFlasso,ECFlasso,Real_P20,Real_Effort_Person_Hours,DataDonator,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8
1,9,355,364,0.81,0.84,70.33097855,-44.89440601,398.5,7970,D1,0,2,0,0,0,0,0,1,3,5,5,1,1,0,0,0,0,0,5,1,5
2,8,445,453,0.99,0.99,28.7684795,-29.48543567,398.1,7962,D1,0,2,1,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,3,0,4
3,9,355,364,1.03,0.8,76.24656593,-35.14972083,396.75,7935,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,0,5
4,8,350,358,0.9,0.91,59.78942845,-40.22863646,390.25,7805,D1,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,0,5,0,3
5,8,345,353,0.9,0.91,60.75459951,-40.55188333,387.9,7758,D1,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,0,5,2,4
6,8,345,353,0.99,0.99,49.3513034,-36.31689892,382.15,7643,D1,0,2,1,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,4,4,5
7,7,420,427,0.94,1.02,26.46737383,-31.15916754,376.6,7532,D1,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,1,2
8,8,340,348,1.03,0.8,73.81824713,-34.51530707,372.55,7451,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,3,5,3,5
9,7,415,422,1.025,0.98,29.79350034,-28.50922822,371.35,7427,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,4,4
10,8,335,343,0.92,0.78,78.40920984,-38.96776102,370.3,7406,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,0,5,4,0,4
11,8,330,338,0.85,0.89,62.41539791,-42.56294234,368.25,7365,D1,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,0,2,4,1,4
12,7,410,417,0.75,0.81,48.80184741,-39.01945111,367.5,7350,D1,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,4,5,0,3
13,7,405,412,1.02,1.085,21.6853832,-28.85256044,365.15,7303,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,0,0
14,8,325,333,1.095,0.95,54.61988304,-33.01932069,362.6,7252,D1,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,5,2,3
15,8,325,333,0.92,0.78,79.46638947,-39.26208818,362.25,7245,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,2,0,5,0,5
16,7,400,407,0.75,0.81,48.68444202,-38.97351897,358.3,7166,D1,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,5,4,1,4
17,7,390,397,0.965,0.755,58.75490016,-30.84880994,355.95,7119,D1,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,2,2,4,0,5
18,8,315,323,0.92,0.78,81.124871,-39.7260735,355.55,7111,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,2,2,5,0,4
19,8,315,323,1.05,0.95,54.77920808,-34.47835274,352.2,7044,D1,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,1,3
20,7,390,397,0.71,0.73,61.45888686,-41.46119369,352,7040,D1,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,2,5,5,0,3
21,7,395,402,1.02,1.085,20.56491735,-28.4525087,351.4,7028,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,2,5,5
22,8,315,323,1.03,0.8,74.32662539,-34.63684912,347.1,6942,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,1,4,0,5
23,7,305,312,0.965,0.755,84.63406351,-37.56476684,340.7,6814,D1,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,2,4,3,0,5
24,9,380,389,0.78,0.79,50.78389899,-37.24759959,340.45,6809,D1,0,2,0,0,0,0,0,1,0,5,5,1,1,0,0,0,2,1,5,2,5
25,8,375,383,0.98,0.97,31.54531507,-30.07939468,340.1,6802,D1,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,0,2
26,12,305,317,0.78,0.51,149.9028886,-45.55933026,339.35,6787,D1,0,2,0,0,0,0,0,1,0,5,5,1,1,0,1,5,1,5,5,1,5
27,7,305,312,1.08,0.77,80.77589078,-33.31750554,338.2,6764,D1,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,2,4,5,2,4
