Project_No,UAW,UUCW,TCF,ECF,TCFlasso,ECFlasso,Real_P20,Real_Effort_Person_Hours,DataDonator,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8
28,7,380,1.05,0.95,31.94886441,18.93605677,338.05,6761,D2,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,3,3,0,3
29,7,300,0.85,0.89,63.06481719,3.714632433,336.25,6725,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,0,4,4,3,4
30,7,300,1.02,1.085,40.42180159,11.05958996,334.5,6690,D2,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,5,5,2
31,7,300,1.08,0.77,79.59981387,13.49016769,330,6600,D2,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,4,3,5
32,7,290,0.94,1.02,46.85284215,8.017766316,323.7,6474,D2,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,2,5,3,2
33,6,355,0.95,0.92,36.84752499,15.40360597,321.65,6433,D2,0,2,0,2,5,5,5,1,5,5,5,1,1,0,0,0,0,4,2,2,5
34,7,285,0.78,0.79,79.06710595,-0.283339187,320.8,6416,D2,0,2,0,0,0,0,0,1,0,5,5,1,1,0,0,0,2,4,3,1,5
35,8,290,0.94,1.02,45.47440453,8.516350136,320.6,6412,D2,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,3,1,0,4
36,6,355,0.9,0.94,34.30070136,13.83605212,320,6400,D2,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,3,5,4,3
37,7,285,0.71,0.73,89.18371177,-4.462023281,318,6360,D2,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,4,5,3,1,5
38,6,355,0.9,0.91,36.45064077,14.15922848,316.85,6337,D2,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,4,4,2,3
39,18,610,0.72,0.67,14.15153532,23.66595895,312,6240,D2,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,1,4,5,4,2,5
40,7,280,0.78,0.51,152.8851541,0.268620269,311.6,6232,D2,0,2,0,0,0,0,0,1,0,5,5,1,1,0,2,2,4,5,5,0,5
41,7,280,1.03,0.8,74.42944251,11.86292751,308.65,6173,D2,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,3,0,4
42,6,345,1,0.92,35.3796606,17.41690408,308,6160,D2,0,2,2,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,5,4,3
43,6,340,1.095,0.95,33.04837238,19.75770053,305.85,6117,D2,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,4,1,2
44,7,275,0.75,0.81,72.69415988,-1.10323089,303.1,6062,D2,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,2,5,4,2,4
45,19,500,1.03,0.8,12.86849711,27.80103635,302.55,6051,D2,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,4,4,5
46,18,500,0.72,0.67,27.13190803,19.63963964,302.4,6048,D2,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,2,0,4,5,0,4
47,18,500,0.85,0.89,5.452691857,23.82239382,301.75,6035,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,4,0,4
48,6,270,0.965,0.755,84.54362223,8.970488849,301.2,6024,D2,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,4,4,3,1,5
49,18,485,0.85,0.88,8.034971986,23.18793124,301.15,6023,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,5,0,3
50,18,575,1.118,0.995,-9.214877084,31.60071637,299.65,5993,D2,5,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,1,1,4
