Project_No,UAW,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,DataDonator,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8
51,18,495,0.85,0.88,299.25,5985,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,5,4,5
52,18,490,0.75,0.81,298.55,5971,D3,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,4,1,4,1,5
53,18,490,0.81,0.84,298.1,5962,D3,0,2,0,0,0,0,0,1,3,5,5,1,1,0,0,0,2,4,5,0,2
54,18,490,0.85,0.89,297.2,5944,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,4,3,5
55,17,575,0.85,0.88,297,5940,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,5,1,3
56,6,260,0.98,0.97,296.35,5927,D3,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,5,2,1
57,17,480,0.85,0.89,294.25,5885,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,5,5,5
58,18,485,1.08,0.77,294.1,5882,D3,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,4,5,4,2,4
59,6,325,0.72,0.67,294,5880,D3,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,2,2,5,3,0,5
60,18,485,0.82,0.79,294,5880,D3,0,2,0,0,0,0,0,1,4,5,5,1,1,0,0,0,4,2,5,4,5
61,6,330,0.96,0.96,293.8,5876,D3,0,2,0,3,5,5,5,1,5,5,5,1,1,0,0,0,0,5,5,0,0
62,6,330,0.85,0.89,293.65,5873,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,2,4,2,4
63,18,485,1.095,0.95,293.25,5865,D3,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,5,5,4,2
64,18,480,0.965,0.755,293.15,5863,D3,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,1,0,1,5,1,5
65,18,480,0.98,0.97,292.8,5856,D3,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,5,3,3,3
66,18,460,1.05,0.95,290,5800,D3,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,0,3,2,5
67,17,565,1.03,0.8,289.55,5791,D3,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,4,4,2,0,5
68,19,475,0.95,0.92,289.1,5782,D3,0,2,0,2,5,5,5,1,5,5,5,1,1,0,0,0,2,1,5,2,3
69,6,250,1,0.92,288.9,5778,D3,0,2,2,5,5,5,5,1,5,5,5,1,1,0,0,0,2,1,5,4,4
70,18,460,0.85,0.89,288.75,5775,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,3,4,1,3
