Project_No,UAW,UUCW,TCF,ECF,Real_P20,Effort,DataDonator,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,PDR
1,9,355,0.81,0.84,398.5,7970,D1,0,2,0,0,0,0,0,1,3,5,5,1,1,0,0,0,0,0,5,1,5,20
2,8,445,0.99,0.99,398.1,7962,D1,0,2,1,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,3,0,4,20
3,9,355,1.03,0.8,396.75,7935,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,0,5,20
4,8,350,0.9,0.91,390.25,7805,D1,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,0,5,0,3,20
5,8,345,0.9,0.91,387.9,7758,D1,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,0,5,2,4,20
6,8,345,0.99,0.99,382.15,7643,D1,0,2,1,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,4,4,5,20
7,7,420,0.94,1.02,376.6,7532,D1,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,1,2,20
8,8,340,1.03,0.8,372.55,7451,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,3,5,3,5,20
9,7,415,1.025,0.98,371.35,7427,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,4,4,20
10,8,335,0.92,0.78,370.3,7406,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,0,5,4,0,4,20
11,8,330,0.85,0.89,368.25,7365,D1,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,0,2,4,1,4,20
12,7,410,0.75,0.81,367.5,7350,D1,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,4,5,0,3,20
13,7,405,1.02,1.085,365.15,7303,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,0,5,0,0,20
14,8,325,1.095,0.95,362.6,7252,D1,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,5,2,3,20
15,8,325,0.92,0.78,362.25,7245,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,2,0,5,0,5,20
16,7,400,0.75,0.81,358.3,7166,D1,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,5,4,1,4,20
17,7,390,0.965,0.755,355.95,7119,D1,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,2,2,4,0,5,28
18,8,315,0.92,0.78,355.55,7111,D1,0,2,0,0,4,5,5,1,5,5,5,1,1,0,0,0,2,2,5,0,4,28
19,8,315,1.05,0.95,352.2,7044,D1,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,1,3,20
20,7,390,0.71,0.73,352,7040,D1,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,2,5,5,0,3,20
21,7,395,1.02,1.085,351.4,7028,D1,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,2,5,5,28
22,8,315,1.03,0.8,347.1,6942,D1,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,1,4,0,5,28
23,7,305,0.965,0.755,340.7,6814,D1,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,2,4,3,0,5,20
24,9,380,0.78,0.79,340.45,6809,D1,0,2,0,0,0,0,0,1,0,5,5,1,1,0,0,0,2,1,5,2,5,28
25,8,375,0.98,0.97,340.1,6802,D1,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,2,4,0,2,20
26,12,305,0.78,0.51,339.35,6787,D1,0,2,0,0,0,0,0,1,0,5,5,1,1,0,1,5,1,5,5,1,5,28
27,7,305,1.08,0.77,338.2,6764,D1,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,2,4,5,2,4,20
28,7,380,1.05,0.95,338.05,6761,D2,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,0,3,3,0,3,20
29,7,300,0.85,0.89,336.25,6725,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,0,4,4,3,4,20
30,7,300,1.02,1.085,334.5,6690,D2,0,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,1,5,5,2,20
31,7,300,1.08,0.77,330,6600,D2,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,4,3,5,20
32,7,290,0.94,1.02,323.7,6474,D2,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,2,5,3,2,20
33,6,355,0.95,0.92,321.65,6433,D2,0,2,0,2,5,5,5,1,5,5,5,1,1,0,0,0,0,4,2,2,5,20
34,7,285,0.78,0.79,320.8,6416,D2,0,2,0,0,0,0,0,1,0,5,5,1,1,0,0,0,2,4,3,1,5,20
35,8,290,0.94,1.02,320.6,6412,D2,0,2,0,1,5,5,5,1,5,5,5,1,1,0,0,0,0,3,1,0,4,20
36,6,355,0.9,0.94,320,6400,D2,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,3,5,4,3,20
37,7,285,0.71,0.73,318,6360,D2,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,4,5,3,1,5,20
38,6,355,0.9,0.91,316.85,6337,D2,0,2,0,0,2,5,5,1,5,5,5,1,1,0,0,0,0,4,4,2,3,20
